,Name,Age,Nationality,Overall,Potential,Club,Value,Wage,Preferred Foot,International Reputation,Weak Foot,SkillMoves,Work Rate,Position,Jersey Number,Joined,Loaned From,Contract Valid Until,Height,Weight,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,StandingTackle,SlidingTackle,GKDiving,GKHandling,GKKicking,GKPositioning,GKReflexes,Release Clause,League,Speciality
1266,Francisco Geraldes,23,Portugal,76,83,Eintracht Frankfurt,€11M,€12K,Right,1.0,4.0,4.0,High/ Low,CAM,18.0,N/A,Sporting CP,"Jun 30, 2019",5'7,146lbs,68.0,55.0,47.0,73.0,65.0,84.0,73.0,72.0,69.0,82.0,78.0,75.0,86.0,78.0,76.0,64.0,57.0,73.0,44.0,57.0,57.0,29.0,73.0,78.0,60.0,77.0,52.0,43.0,42.0,10.0,14.0,9.0,7.0,14.0,No Release Clause,BUNDESLIGA,No Speciality
1267,I. Ordets,25,Ukraine,76,81,Shakhtar Donetsk,€8.5M,€1K,Right,1.0,3.0,2.0,Medium/ Medium,CB,18.0,"Feb 1, 2010",Not on loan,2020,6'4,194lbs,41.0,46.0,74.0,66.0,59.0,38.0,39.0,46.0,61.0,61.0,61.0,69.0,48.0,71.0,38.0,73.0,56.0,79.0,88.0,57.0,70.0,76.0,38.0,34.0,34.0,68.0,78.0,77.0,73.0,15.0,14.0,10.0,13.0,11.0,€18.5M,REST OF WORLD,Strength
1268,D. Santon,27,Italy,76,76,Roma,€6.5M,€47K,Right,2.0,3.0,3.0,Medium/ Medium,LB,18.0,"Jul 1, 2018",Not on loan,2022,6'2,170lbs,76.0,46.0,65.0,76.0,57.0,75.0,74.0,43.0,69.0,75.0,67.0,74.0,66.0,73.0,57.0,74.0,74.0,74.0,72.0,68.0,72.0,76.0,63.0,64.0,57.0,74.0,75.0,77.0,76.0,15.0,10.0,15.0,14.0,8.0,€11.1M,SERIE A TIM,No Speciality
1269,M. Niang,23,Senegal,76,81,Stade Rennais FC,€10.5M,€37K,Right,2.0,4.0,3.0,Medium/ Low,LW,11.0,N/A,Torino,"Jun 30, 2019",6'0,172lbs,65.0,68.0,64.0,70.0,72.0,81.0,68.0,66.0,57.0,80.0,85.0,91.0,82.0,66.0,65.0,86.0,69.0,64.0,69.0,73.0,50.0,30.0,77.0,72.0,70.0,69.0,30.0,24.0,20.0,4.0,6.0,4.0,4.0,4.0,No Release Clause,LIGUE 1 CONFORAMA,No Speciality
1270,O. Wendt,32,Sweden,76,76,Borussia Mönchengladbach,€4.3M,€24K,Left,2.0,3.0,3.0,Medium/ Medium,LB,17.0,"Jul 1, 2011",Not on loan,2019,5'11,181lbs,78.0,56.0,63.0,77.0,50.0,73.0,77.0,60.0,73.0,77.0,75.0,76.0,72.0,78.0,69.0,76.0,68.0,73.0,67.0,65.0,69.0,74.0,72.0,72.0,65.0,74.0,69.0,77.0,73.0,9.0,12.0,10.0,13.0,11.0,€7.2M,BUNDESLIGA,No Speciality
1271,C. Riveros,35,Paraguay,76,76,Free Agent,€0,€0,Right,1.0,3.0,3.0,Medium/ Medium,CAM,16.0,N/A,Not on loan,Free Agent,5'10,163lbs,74.0,69.0,70.0,81.0,64.0,69.0,67.0,68.0,77.0,76.0,60.0,53.0,79.0,72.0,70.0,71.0,65.0,75.0,62.0,71.0,72.0,65.0,76.0,77.0,71.0,80.0,76.0,61.0,62.0,9.0,13.0,6.0,16.0,15.0,No Release Clause,0,No Speciality
1272,F. Benković,20,Croatia,76,85,Celtic,€10.5M,€37K,Right,1.0,3.0,2.0,Medium/ Medium,LCB,32.0,N/A,Leicester City,"Jun 30, 2019",6'4,201lbs,28.0,25.0,76.0,64.0,19.0,50.0,18.0,26.0,60.0,58.0,61.0,66.0,50.0,70.0,44.0,48.0,76.0,73.0,86.0,22.0,82.0,75.0,34.0,49.0,42.0,70.0,73.0,75.0,75.0,15.0,8.0,6.0,10.0,8.0,No Release Clause,SCOTTISH PREMIERSHIP,No Speciality
1273,M. Torres,33,Colombia,76,76,Deportivo Cali,€4.7M,€4K,Right,1.0,4.0,3.0,Medium/ Medium,CAM,10.0,"Jul 10, 2018",Not on loan,2019,5'7,150lbs,76.0,63.0,53.0,81.0,46.0,73.0,75.0,63.0,80.0,80.0,55.0,53.0,85.0,72.0,76.0,79.0,55.0,66.0,65.0,77.0,62.0,52.0,73.0,83.0,64.0,72.0,40.0,52.0,12.0,16.0,14.0,12.0,8.0,7.0,€6.6M,LIGA DIMAYOR,No Speciality
1274,M. Noble,31,England,76,76,West Ham United,€6.5M,€66K,Right,2.0,3.0,3.0,High/ High,RCM,16.0,"Aug 1, 2004",Not on loan,2021,5'10,168lbs,71.0,60.0,62.0,77.0,68.0,74.0,71.0,67.0,79.0,76.0,42.0,45.0,62.0,73.0,72.0,74.0,57.0,78.0,70.0,68.0,85.0,73.0,64.0,78.0,88.0,77.0,71.0,74.0,76.0,7.0,6.0,14.0,16.0,11.0,€12.4M,PREMIER LEAGUE,No Speciality
1275,M. Rashica,22,Kosovo,76,83,SV Werder Bremen,€11M,€25K,Right,1.0,4.0,3.0,High/ Medium,RW,11.0,"Jan 31, 2018",Not on loan,2022,5'10,161lbs,76.0,69.0,50.0,68.0,68.0,80.0,71.0,61.0,64.0,77.0,93.0,86.0,90.0,70.0,77.0,79.0,41.0,75.0,57.0,72.0,67.0,26.0,68.0,70.0,45.0,72.0,53.0,29.0,36.0,7.0,14.0,7.0,14.0,6.0,€20.9M,BUNDESLIGA,No Speciality
1276,C. Benteke,27,Belgium,76,76,Crystal Palace,€8M,€53K,Right,3.0,3.0,2.0,Medium/ Low,ST,17.0,"Aug 20, 2016",Not on loan,2020,6'3,183lbs,58.0,75.0,87.0,64.0,67.0,65.0,60.0,64.0,48.0,74.0,59.0,68.0,66.0,67.0,46.0,78.0,82.0,66.0,87.0,69.0,56.0,29.0,73.0,68.0,71.0,70.0,28.0,25.0,18.0,14.0,5.0,12.0,8.0,5.0,€15.2M,PREMIER LEAGUE,Strength
1277,Rômulo,31,Italy,76,76,Genoa,€6.5M,€17K,Right,1.0,2.0,4.0,Medium/ Medium,RM,8.0,"Jul 11, 2018",Not on loan,2020,5'10,159lbs,77.0,60.0,56.0,76.0,57.0,77.0,77.0,76.0,74.0,77.0,74.0,74.0,77.0,72.0,76.0,75.0,67.0,88.0,68.0,69.0,70.0,74.0,74.0,72.0,77.0,80.0,67.0,74.0,72.0,5.0,7.0,14.0,5.0,12.0,€11.1M,SERIE A TIM,No Speciality
1278,D. Pabón,30,Colombia,76,76,Monterrey,€7.5M,€46K,Right,2.0,4.0,3.0,High/ High,RW,8.0,"Jun 11, 2014",Not on loan,2019,5'6,161lbs,69.0,72.0,51.0,69.0,77.0,78.0,76.0,76.0,70.0,73.0,86.0,84.0,81.0,76.0,83.0,86.0,77.0,87.0,81.0,77.0,74.0,44.0,79.0,74.0,73.0,72.0,30.0,40.0,33.0,15.0,11.0,15.0,14.0,9.0,€12.8M,LIGA BANCOMER MX,Engine
1279,Embarba,26,Spain,76,77,Rayo Vallecano,€9M,€20K,Right,1.0,3.0,3.0,Medium/ Medium,RM,11.0,"Jul 1, 2013",Not on loan,2021,5'8,146lbs,71.0,72.0,45.0,78.0,53.0,76.0,62.0,65.0,76.0,72.0,76.0,79.0,79.0,76.0,78.0,69.0,61.0,77.0,61.0,68.0,56.0,49.0,75.0,79.0,62.0,61.0,41.0,52.0,49.0,13.0,6.0,6.0,14.0,11.0,€20.5M,LALIGA SANTANDER,No Speciality
1280,C. Kerbrat,31,France,76,76,En Avant de Guingamp,€5M,€21K,Right,1.0,3.0,2.0,Low/ High,RCB,29.0,"Jul 1, 2011",Not on loan,2020,6'1,163lbs,50.0,49.0,70.0,71.0,32.0,60.0,50.0,44.0,66.0,70.0,59.0,66.0,60.0,69.0,62.0,54.0,71.0,73.0,77.0,55.0,75.0,78.0,39.0,49.0,54.0,72.0,77.0,78.0,77.0,7.0,7.0,16.0,13.0,11.0,€10M,0,No Speciality
1281,L. Teodorczyk,27,Poland,76,77,Udinese,€9M,€28K,Right,2.0,2.0,3.0,High/ Medium,ST,91.0,"Aug 17, 2018",Not on loan,2022,6'2,190lbs,57.0,77.0,82.0,69.0,75.0,65.0,50.0,49.0,45.0,70.0,66.0,74.0,61.0,72.0,58.0,77.0,69.0,82.0,81.0,68.0,77.0,24.0,80.0,65.0,65.0,74.0,37.0,22.0,20.0,15.0,11.0,7.0,7.0,14.0,€16.9M,SERIE A TIM,No Speciality
1282,Alexo Baia,30,Brazil,76,76,Cruzeiro,€5.5M,€25K,Right,1.0,3.0,3.0,High/ Medium,RB,2.0,"Jan 1, 2018",Not on loan,2021,5'9,157lbs,72.0,51.0,66.0,77.0,39.0,77.0,51.0,52.0,74.0,71.0,74.0,77.0,81.0,75.0,72.0,34.0,65.0,80.0,61.0,51.0,81.0,71.0,55.0,56.0,66.0,73.0,77.0,76.0,77.0,15.0,8.0,15.0,10.0,13.0,€10.5M,LIGA DO BRASIL,No Speciality
1283,David Seijalbo,34,Brazil,76,76,Cruzeiro,€2.3M,€25K,Left,1.0,2.0,2.0,Medium/ High,RDM,6.0,"Jan 1, 2018",Not on loan,2021,5'9,168lbs,48.0,45.0,60.0,77.0,53.0,50.0,47.0,44.0,76.0,70.0,58.0,70.0,77.0,79.0,76.0,65.0,81.0,88.0,80.0,62.0,83.0,70.0,36.0,52.0,62.0,80.0,81.0,77.0,68.0,7.0,12.0,10.0,16.0,9.0,€4.4M,LIGA DO BRASIL,No Speciality
1284,N. Nández,22,Uruguay,76,85,Boca Juniors,€11.5M,€20K,Right,1.0,3.0,4.0,High/ High,RCM,15.0,"Aug 23, 2017",Not on loan,2020,5'8,159lbs,57.0,66.0,48.0,76.0,31.0,74.0,46.0,52.0,69.0,76.0,78.0,78.0,81.0,80.0,79.0,74.0,77.0,91.0,82.0,65.0,83.0,78.0,73.0,70.0,55.0,79.0,77.0,76.0,73.0,8.0,8.0,14.0,5.0,15.0,€18.4M,SAF,Engine
1285,L. Rupp,27,Germany,76,76,TSG 1899 Hoffenheim,€8M,€32K,Right,1.0,3.0,3.0,High/ High,CM,7.0,"Jul 1, 2016",Not on loan,2020,5'10,161lbs,74.0,64.0,45.0,79.0,63.0,78.0,73.0,60.0,74.0,79.0,70.0,67.0,77.0,74.0,80.0,75.0,66.0,79.0,59.0,67.0,63.0,64.0,68.0,76.0,63.0,70.0,67.0,72.0,69.0,5.0,12.0,7.0,8.0,9.0,€13.6M,BUNDESLIGA,No Speciality
1286,Jordi Amat,26,Spain,76,80,Rayo Vallecano,€8.5M,€18K,Right,2.0,3.0,2.0,Low/ High,LCB,16.0,"Aug 10, 2018",Not on loan,2022,6'1,183lbs,31.0,34.0,74.0,68.0,28.0,50.0,40.0,36.0,52.0,65.0,61.0,69.0,59.0,70.0,57.0,75.0,78.0,66.0,79.0,65.0,82.0,71.0,30.0,59.0,28.0,69.0,76.0,76.0,79.0,9.0,6.0,7.0,16.0,8.0,€19.3M,LALIGA SANTANDER,No Speciality
1287,W. Caballero,36,Argentina,76,76,Chelsea,€1M,€39K,Right,2.0,3.0,1.0,Medium/ Medium,GK,13.0,"Jul 1, 2017",Not on loan,2019,6'1,179lbs,12.0,11.0,22.0,33.0,13.0,12.0,23.0,11.0,48.0,30.0,43.0,46.0,39.0,73.0,55.0,23.0,70.0,37.0,69.0,14.0,30.0,19.0,7.0,47.0,16.0,57.0,14.0,11.0,12.0,75.0,72.0,71.0,77.0,76.0,€1.9M,PREMIER LEAGUE,Goalkeeper
1288,F. Di Francesco,24,Italy,76,79,Sassuolo,€10M,€44K,Right,1.0,4.0,4.0,Medium/ Medium,LW,34.0,"Jul 5, 2018",Not on loan,2021,5'7,165lbs,77.0,60.0,40.0,77.0,72.0,83.0,78.0,69.0,67.0,82.0,82.0,83.0,79.0,72.0,77.0,74.0,44.0,76.0,65.0,70.0,42.0,34.0,74.0,68.0,69.0,74.0,48.0,38.0,36.0,11.0,10.0,6.0,10.0,5.0,€17.8M,SERIE A TIM,No Speciality
1289,O. El Kaddouri,27,Morocco,76,76,PAOK,€8M,€1K,Right,1.0,4.0,3.0,High/ Medium,CAM,7.0,"Aug 25, 2017",Not on loan,2021,6'1,181lbs,73.0,63.0,71.0,78.0,70.0,77.0,77.0,72.0,75.0,80.0,73.0,75.0,72.0,71.0,54.0,81.0,70.0,70.0,77.0,77.0,56.0,61.0,74.0,77.0,70.0,72.0,50.0,59.0,53.0,5.0,14.0,6.0,6.0,9.0,€16.8M,REST OF WORLD,No Speciality
1290,T. Rogić,25,Australia,76,79,Celtic,€9.5M,€46K,Left,1.0,4.0,4.0,Medium/ Medium,CAM,23.0,"Jan 9, 2013",Not on loan,2023,6'2,194lbs,61.0,70.0,60.0,76.0,68.0,82.0,76.0,57.0,70.0,82.0,74.0,66.0,74.0,64.0,75.0,82.0,52.0,55.0,77.0,80.0,48.0,38.0,75.0,73.0,56.0,83.0,46.0,48.0,41.0,12.0,11.0,13.0,12.0,11.0,€17.8M,SCOTTISH PREMIERSHIP,No Speciality
1291,G. Töre,26,Turkey,76,77,Beşiktaş JK,€9M,€43K,Left,2.0,4.0,3.0,High/ Low,RM,55.0,"Aug 11, 2014",Not on loan,2019,5'9,154lbs,79.0,66.0,59.0,74.0,59.0,81.0,75.0,68.0,76.0,80.0,82.0,84.0,82.0,65.0,80.0,74.0,58.0,66.0,75.0,70.0,78.0,43.0,67.0,71.0,66.0,70.0,45.0,38.0,32.0,11.0,10.0,7.0,12.0,11.0,€17.8M,SÜPER LIG,No Speciality
1292,M. Destro,27,Italy,76,76,Bologna,€8M,€33K,Right,2.0,3.0,4.0,Medium/ Low,ST,22.0,"Aug 20, 2015",Not on loan,2020,5'10,159lbs,56.0,78.0,76.0,68.0,70.0,74.0,68.0,51.0,42.0,76.0,73.0,73.0,73.0,72.0,76.0,74.0,79.0,58.0,68.0,60.0,60.0,20.0,82.0,58.0,69.0,76.0,28.0,22.0,20.0,6.0,14.0,15.0,9.0,11.0,€13.6M,SERIE A TIM,No Speciality
1293,Josué,27,Portugal,76,76,Akhisar Belediyespor,€8M,€19K,Left,1.0,2.0,4.0,Medium/ Medium,CAM,27.0,"Jul 18, 2018",Not on loan,2020,5'9,165lbs,73.0,71.0,57.0,75.0,67.0,78.0,78.0,73.0,74.0,77.0,66.0,70.0,77.0,73.0,80.0,82.0,52.0,71.0,61.0,77.0,80.0,54.0,73.0,76.0,75.0,71.0,49.0,53.0,59.0,15.0,10.0,15.0,16.0,10.0,€16M,0,No Speciality
1294,A. Bizzarri,40,Argentina,76,76,Foggia,€525K,€2K,Right,2.0,3.0,1.0,Medium/ Medium,GK,1.0,"Jul 17, 2018",Not on loan,2019,6'2,196lbs,11.0,17.0,10.0,27.0,19.0,18.0,19.0,18.0,26.0,23.0,55.0,45.0,53.0,68.0,51.0,19.0,68.0,31.0,55.0,19.0,40.0,19.0,10.0,49.0,20.0,60.0,11.0,12.0,11.0,76.0,74.0,66.0,82.0,76.0,€840K,CALCIO B,Goalkeeper
1295,Ki Sung Yueng,29,Korea Republic,76,76,Newcastle United,€7.5M,€46K,Right,2.0,4.0,4.0,Medium/ High,LCM,4.0,"Jul 1, 2018",Not on loan,2020,6'2,165lbs,73.0,69.0,71.0,84.0,55.0,74.0,76.0,77.0,79.0,80.0,60.0,61.0,67.0,66.0,59.0,82.0,68.0,69.0,70.0,71.0,68.0,54.0,72.0,79.0,76.0,81.0,60.0,70.0,71.0,14.0,9.0,7.0,9.0,10.0,€14.3M,PREMIER LEAGUE,No Speciality
1296,H. Onyekuru,21,Nigeria,76,86,Galatasaray SK,€12.5M,€56K,Right,2.0,4.0,4.0,High/ High,ST,21.0,N/A,Everton,"Jun 30, 2019",5'9,130lbs,69.0,78.0,57.0,67.0,69.0,83.0,58.0,45.0,63.0,76.0,90.0,90.0,91.0,69.0,81.0,71.0,91.0,70.0,44.0,73.0,53.0,18.0,70.0,67.0,65.0,70.0,37.0,38.0,25.0,12.0,9.0,9.0,6.0,11.0,No Release Clause,SÜPER LIG,No Speciality
1297,N. Pépé,23,Ivory Coast,76,84,LOSC Lille,€11.5M,€26K,Left,1.0,3.0,4.0,High/ Medium,RM,19.0,"Jul 1, 2017",Not on loan,2022,6'0,161lbs,68.0,72.0,44.0,66.0,60.0,81.0,77.0,65.0,49.0,78.0,90.0,87.0,90.0,78.0,75.0,77.0,68.0,76.0,56.0,70.0,43.0,25.0,75.0,69.0,62.0,73.0,28.0,20.0,19.0,11.0,14.0,11.0,6.0,8.0,€25.3M,LIGUE 1 CONFORAMA,No Speciality
1298,Matheus Pereira,22,Brazil,76,83,1. FC Nürnberg,€11M,€12K,Left,1.0,3.0,4.0,Medium/ Medium,RM,27.0,N/A,Sporting CP,"Jun 30, 2019",5'9,146lbs,73.0,73.0,43.0,73.0,72.0,82.0,78.0,71.0,63.0,79.0,79.0,79.0,83.0,72.0,88.0,74.0,66.0,74.0,55.0,72.0,61.0,39.0,74.0,69.0,71.0,80.0,43.0,37.0,29.0,15.0,12.0,15.0,15.0,9.0,No Release Clause,BUNDESLIGA,No Speciality
1299,Y. Salibur,27,France,76,76,AS Saint-Étienne,€8M,€23K,Left,2.0,4.0,4.0,High/ Medium,RM,19.0,N/A,En Avant de Guingamp,"Jun 30, 2019",5'10,168lbs,74.0,74.0,58.0,72.0,62.0,78.0,72.0,74.0,67.0,76.0,90.0,85.0,82.0,72.0,75.0,78.0,77.0,69.0,68.0,76.0,46.0,48.0,74.0,71.0,65.0,73.0,37.0,33.0,35.0,12.0,13.0,11.0,10.0,7.0,No Release Clause,LIGUE 1 CONFORAMA,No Speciality
1300,E. Vargas,28,Chile,76,76,Tigres U.A.N.L.,€8M,€55K,Right,2.0,4.0,4.0,Medium/ Low,CAM,9.0,"Jan 27, 2017",Not on loan,2020,5'9,179lbs,69.0,76.0,65.0,72.0,81.0,81.0,72.0,58.0,66.0,78.0,84.0,76.0,86.0,77.0,72.0,77.0,77.0,76.0,65.0,74.0,60.0,25.0,76.0,73.0,70.0,73.0,34.0,45.0,36.0,13.0,13.0,10.0,8.0,10.0,€12.8M,LIGA BANCOMER MX,No Speciality
1301,L. Magallán,24,Argentina,76,83,Boca Juniors,€9.5M,€18K,Right,1.0,3.0,2.0,Medium/ Medium,CB,6.0,"Jul 1, 2012",Not on loan,2021,6'1,183lbs,45.0,35.0,76.0,66.0,27.0,57.0,32.0,34.0,56.0,62.0,60.0,63.0,65.0,73.0,65.0,50.0,90.0,78.0,80.0,33.0,70.0,79.0,34.0,44.0,44.0,70.0,77.0,75.0,72.0,7.0,9.0,7.0,14.0,16.0,€15.2M,SAF,No Speciality
1302,Danny,34,Portugal,76,76,Clube Sport Marítimo,€3.9M,€12K,Right,3.0,4.0,4.0,Medium/ Low,CAM,10.0,"Jul 22, 2018",Not on loan,2020,5'10,150lbs,77.0,67.0,47.0,77.0,68.0,80.0,82.0,74.0,75.0,82.0,64.0,63.0,76.0,71.0,74.0,71.0,70.0,60.0,54.0,70.0,73.0,43.0,74.0,77.0,67.0,82.0,48.0,35.0,32.0,7.0,11.0,6.0,11.0,5.0,€8.2M,0,No Speciality
1303,C. Hérelle,25,France,76,80,OGC Nice,€8.5M,€26K,Right,1.0,3.0,2.0,Medium/ Medium,RCB,29.0,"Jul 1, 2018",Not on loan,2022,6'2,165lbs,60.0,40.0,80.0,77.0,35.0,58.0,49.0,42.0,68.0,66.0,62.0,66.0,62.0,71.0,62.0,59.0,77.0,75.0,70.0,49.0,71.0,77.0,49.0,45.0,47.0,66.0,75.0,78.0,76.0,15.0,10.0,14.0,12.0,13.0,€16.8M,LIGUE 1 CONFORAMA,No Speciality
1304,E. Mangala,27,France,76,78,Manchester City,€7.5M,€84K,Left,2.0,4.0,2.0,Medium/ High,CB,15.0,"Aug 11, 2014",Not on loan,2019,6'2,185lbs,53.0,27.0,77.0,58.0,44.0,46.0,47.0,48.0,56.0,50.0,59.0,67.0,62.0,62.0,60.0,67.0,86.0,64.0,87.0,48.0,89.0,71.0,39.0,47.0,48.0,58.0,72.0,79.0,79.0,10.0,13.0,6.0,10.0,14.0,€14.4M,PREMIER LEAGUE,Aerial Threat
1305,O. Selnæs,23,Norway,76,80,AS Saint-Étienne,€8.5M,€24K,Left,1.0,3.0,3.0,Low/ Medium,RDM,17.0,"Jan 29, 2016",Not on loan,2020,6'2,170lbs,62.0,56.0,63.0,80.0,63.0,72.0,69.0,67.0,76.0,76.0,67.0,66.0,70.0,73.0,66.0,66.0,53.0,80.0,69.0,64.0,71.0,76.0,55.0,76.0,51.0,70.0,71.0,73.0,68.0,12.0,13.0,8.0,12.0,10.0,€16.8M,LIGUE 1 CONFORAMA,No Speciality
1306,Víctor Vázquez,31,Spain,76,76,Toronto FC,€6.5M,€9K,Right,1.0,2.0,3.0,Medium/ Low,CAM,7.0,"Feb 20, 2017",Not on loan,2018,5'9,168lbs,72.0,68.0,49.0,81.0,70.0,77.0,80.0,74.0,78.0,80.0,53.0,50.0,60.0,79.0,74.0,69.0,37.0,69.0,59.0,72.0,55.0,55.0,77.0,79.0,71.0,79.0,45.0,50.0,28.0,8.0,16.0,8.0,15.0,8.0,€9.8M,MLS,No Speciality
1307,Diego Mariño,28,Spain,76,77,Real Sporting de Gijón,€6M,€9K,Right,1.0,3.0,1.0,Medium/ Medium,GK,13.0,"Jul 1, 2016",Not on loan,2022,6'2,170lbs,22.0,16.0,20.0,34.0,18.0,14.0,14.0,11.0,32.0,19.0,47.0,53.0,68.0,75.0,53.0,23.0,77.0,34.0,67.0,14.0,24.0,22.0,11.0,38.0,23.0,56.0,16.0,15.0,14.0,76.0,72.0,70.0,72.0,79.0,€10.1M,0,Goalkeeper
1308,Carles Planas,27,Spain,76,77,Girona FC,€7M,€26K,Left,1.0,3.0,3.0,Medium/ Medium,LB,21.0,"Jul 13, 2017",Not on loan,2020,5'8,168lbs,80.0,52.0,68.0,76.0,35.0,69.0,59.0,55.0,58.0,75.0,69.0,75.0,71.0,74.0,77.0,54.0,84.0,74.0,76.0,56.0,73.0,75.0,61.0,59.0,51.0,66.0,62.0,77.0,79.0,15.0,11.0,15.0,12.0,14.0,€15.2M,LALIGA SANTANDER,No Speciality
1309,G. Fernández,26,Argentina,76,77,Racing Club,€9M,€21K,Right,1.0,3.0,3.0,High/ High,CAM,8.0,"Aug 8, 2018",Not on loan,2022,5'10,165lbs,72.0,66.0,47.0,74.0,51.0,78.0,75.0,75.0,73.0,76.0,77.0,73.0,75.0,76.0,66.0,76.0,64.0,80.0,70.0,77.0,61.0,54.0,71.0,76.0,68.0,70.0,68.0,73.0,67.0,9.0,14.0,6.0,11.0,6.0,€14.2M,SAF,No Speciality
1310,Soldado,33,Spain,76,76,Fenerbahçe SK,€4.8M,€61K,Right,3.0,4.0,3.0,High/ Low,ST,9.0,"Aug 11, 2017",Not on loan,2019,5'11,163lbs,66.0,77.0,76.0,78.0,81.0,74.0,70.0,68.0,58.0,76.0,56.0,60.0,65.0,74.0,64.0,79.0,76.0,55.0,70.0,71.0,73.0,41.0,77.0,75.0,79.0,76.0,38.0,41.0,38.0,13.0,13.0,14.0,9.0,6.0,€9.2M,SÜPER LIG,No Speciality
1311,A. Ekdal,28,Sweden,76,76,Sampdoria,€7.5M,€34K,Right,2.0,3.0,3.0,High/ Medium,LCM,8.0,"Aug 16, 2018",Not on loan,2021,6'1,165lbs,67.0,60.0,60.0,78.0,66.0,74.0,74.0,70.0,77.0,79.0,54.0,52.0,61.0,73.0,58.0,72.0,66.0,75.0,75.0,69.0,83.0,70.0,70.0,74.0,68.0,75.0,74.0,71.0,62.0,5.0,5.0,5.0,5.0,5.0,€12.8M,SERIE A TIM,No Speciality
1312,Gedson Fernandes,19,Portugal,76,86,SL Benfica,€12M,€6K,Right,1.0,3.0,3.0,High/ High,RCM,83.0,"Jul 20, 2015",Not on loan,2023,5'11,157lbs,71.0,64.0,61.0,75.0,64.0,77.0,68.0,70.0,72.0,77.0,81.0,78.0,79.0,77.0,71.0,80.0,69.0,88.0,73.0,77.0,77.0,68.0,71.0,73.0,61.0,74.0,68.0,72.0,71.0,9.0,15.0,7.0,9.0,5.0,€26.4M,LIGA NOS,Engine
1313,M. Darmian,28,Italy,76,76,Manchester United,€6M,€88K,Right,2.0,5.0,3.0,Low/ High,LB,36.0,"Jul 11, 2015",Not on loan,2019,6'0,154lbs,69.0,55.0,68.0,76.0,59.0,74.0,69.0,35.0,66.0,75.0,73.0,73.0,77.0,76.0,76.0,69.0,68.0,75.0,64.0,56.0,74.0,77.0,64.0,63.0,45.0,76.0,77.0,79.0,78.0,6.0,7.0,7.0,12.0,7.0,€11.1M,PREMIER LEAGUE,No Speciality
1314,N. Chalobah,23,England,76,81,Watford,€8.5M,€38K,Right,1.0,3.0,3.0,Medium/ Medium,CDM,14.0,"Jul 13, 2017",Not on loan,2022,6'1,168lbs,58.0,55.0,71.0,78.0,53.0,74.0,51.0,38.0,79.0,78.0,62.0,69.0,71.0,70.0,65.0,75.0,70.0,69.0,75.0,67.0,74.0,72.0,62.0,76.0,49.0,68.0,70.0,77.0,74.0,12.0,9.0,15.0,8.0,8.0,€16.8M,PREMIER LEAGUE,No Speciality
1315,R. Pizarro,24,Mexico,76,82,Monterrey,€10.5M,€37K,Right,2.0,4.0,3.0,High/ Medium,RCM,20.0,"Jul 1, 2018",Not on loan,2020,5'8,141lbs,72.0,70.0,58.0,78.0,73.0,79.0,70.0,54.0,72.0,77.0,81.0,82.0,82.0,70.0,74.0,72.0,70.0,89.0,72.0,68.0,50.0,65.0,72.0,74.0,67.0,70.0,69.0,61.0,61.0,15.0,15.0,9.0,9.0,7.0,€20M,LIGA BANCOMER MX,No Speciality
1316,André Simões,28,Portugal,76,76,AEK Athens,€7.5M,€1K,Right,1.0,3.0,3.0,High/ High,CM,8.0,"Jul 1, 2015",Not on loan,2019,5'10,163lbs,68.0,65.0,70.0,75.0,60.0,74.0,68.0,47.0,75.0,77.0,77.0,82.0,75.0,74.0,74.0,75.0,77.0,87.0,68.0,72.0,61.0,70.0,62.0,74.0,65.0,74.0,71.0,79.0,79.0,11.0,15.0,14.0,12.0,6.0,€16.5M,REST OF WORLD,Engine
1317,S. Tshabalala,33,South Africa,76,76,BB Erzurumspor,€4.7M,€16K,Left,2.0,2.0,4.0,High/ Medium,LM,33.0,"Aug 28, 2018",Not on loan,2020,5'7,143lbs,74.0,72.0,39.0,73.0,72.0,78.0,73.0,75.0,65.0,76.0,78.0,77.0,80.0,75.0,90.0,69.0,52.0,85.0,60.0,78.0,49.0,37.0,73.0,78.0,64.0,74.0,62.0,40.0,32.0,9.0,16.0,13.0,6.0,6.0,€9.1M,SÜPER LIG,No Speciality
1318,L. Rossettini,33,Italy,76,76,Chievo Verona,€3.1M,€16K,Right,2.0,3.0,2.0,Medium/ High,LCB,15.0,N/A,Genoa,"Jun 30, 2019",6'2,181lbs,35.0,29.0,76.0,58.0,34.0,50.0,42.0,36.0,58.0,54.0,59.0,55.0,58.0,70.0,50.0,65.0,78.0,59.0,81.0,60.0,76.0,76.0,32.0,28.0,45.0,74.0,80.0,78.0,77.0,5.0,5.0,5.0,5.0,5.0,No Release Clause,SERIE A TIM,No Speciality
